entrez_id	symbol
100128393	RPL35AP36
100128394	LOC100128394
100128395	LOC100128395
100128396	LOC100128396
100128397	LOC100128397
100128398	LOC100128398
100128399	LOC100128399
100128400	LOC100128400
100128401	LOC100128401
100128402	LOC100128402
100128403	LOC100128403
100128404	LOC100128404
100128405	LOC100128405
100128406	AZFP
100128407	LOC100128407
100128408	RPL22P10
100128410	LOC100128410
100128411	LOC100128411
100128412	LOC100128412
100128413	LOC100128413
100128414	LOC100128414
100128415	LOC100128415
100128416	LOC100128416
100128417	LOC100128417
100128418	LOC100128418
100128420	RP3-527F8.2
100128422	LOC100128422
100128423	RPS24P14
100128425	LOC100128425
100128427	LOC100128427
100128428	LOC100128428
100128429	LOC100128429
100128430	LOC100128430
100128431	GEMIN8P
100128432	LOC100128432
100128433	LOC100128433
100128434	LOC100128434
100128435	LOC100128435
100128437	LOC100128437
100128438	LOC100128438
100128439	LOC100128439
100128440	LOC100128440
100128441	LOC100128441
100128442	LOC100128442
100128443	LOC100128443
100128444	LOC100128444
100128448	LOC100128448
100128449	LOC100128449
100128450	RPS6P8
100128451	LOC100128451
100128453	LOC100128453
100128454	LOC100128454
100128455	LOC100128455
100128456	LOC100128456
100128457	LOC100128457
100128458	LOC100128458
100128459	LOC100128459
100128460	LOC100128460
100128461	LOC100128461
100128462	LOC100128462
100128464	LOC100128464
100128465	LOC100128465
100128466	LOC100128466
100128467	LOC100128467
100128468	LOC100128468
100128469	LOC100128469
100128470	LOC100128470
100128471	LOC100128471
100128472	LOC100128472
100128473	LOC100128473
100128474	LOC100128474
100128475	LOC100128475
100128476	LOC100128476
100128477	LOC100128477
100128482	LOC100128482
100128483	LOC100128483
100128484	LOC100128484
100128485	LOC100128485
100128487	LOC100128487
100128489	LOC100128489
100128490	LOC100128490
100128491	LOC100128491
100128492	LOC100128492
100128493	LOC100128493
100128494	LOC100128494
100128495	LOC100128495
100128496	LOC100128496
100128497	LOC100128497
100128498	LOC100128498
100128499	LOC100128499
100128500	LOC100128500
100128501	LOC100128501
100128503	LOC100128503
100128505	LOC100128505
100128506	LOC100128506
100128507	LOC100128507
100128508	LOC100128508
100128510	LOC100128510
100128511	LOC100128511
100128512	LOC100128512
100128514	LOC100128514
100128516	LOC100128516
100128517	LOC100128517
100128519	RPS24P11
100128520	LOC100128520
100128521	LOC100128521
100128522	HPRTP4
100128523	LOC100128523
100128524	LOC100128524
100128525	UQCRFSL1
100128526	LOC100128526
100128528	LOC100128528
100128529	LOC100128529
100128530	LOC100128530
100128531	LOC100128531
100128532	LOC100128532
100128533	LOC100128533
100128534	LOC100128534
100128535	RPS18P14
100128536	LOC100128536
100128537	C1orf132
100128538	LOC100128538
100128539	LOC100128539
100128540	LOC100128540
100128541	LOC100128541
100128542	LOC100128542
100128543	LOC100128543
100128545	LOC100128545
100128546	LOC100128546
100128547	LOC100128547
100128548	LOC100128548
100128549	LOC100128549
100128550	LOC100128550
100128551	LOC100128551
100128552	LOC100128552
100128553	CTAGE4
